country,year,iso_code,renewables_share_energy
Algeria,1965,DZA,4.763
Algeria,1966,DZA,3.519
Algeria,1967,DZA,4.292
Algeria,1968,DZA,5.486
Algeria,1969,DZA,3.183
Algeria,1970,DZA,4.666
Algeria,1971,DZA,2.456
Algeria,1972,DZA,3.278
Algeria,1973,DZA,4.176
Algeria,1974,DZA,2.495
Algeria,1975,DZA,1.378
Algeria,1976,DZA,1.401
Algeria,1977,DZA,0.882
Algeria,1978,DZA,0.652
Algeria,1979,DZA,0.579
Algeria,1980,DZA,0.429
Algeria,1981,DZA,0.503
Algeria,1982,DZA,0.571
Algeria,1983,DZA,0.256
Algeria,1984,DZA,0.514
Algeria,1985,DZA,0.728
Algeria,1986,DZA,0.266
Algeria,1987,DZA,0.517
Algeria,1988,DZA,0.177
Algeria,1989,DZA,0.225
Algeria,1990,DZA,0.127
Algeria,1991,DZA,0.278
Algeria,1992,DZA,0.184
Algeria,1993,DZA,0.35
Algeria,1994,DZA,0.163
Algeria,1995,DZA,0.182
Algeria,1996,DZA,0.129
Algeria,1997,DZA,0.074
Algeria,1998,DZA,0.206
Algeria,1999,DZA,0.193
Algeria,2000,DZA,0.053
Algeria,2001,DZA,0.065
Algeria,2002,DZA,0.052
Algeria,2003,DZA,0.228
Algeria,2004,DZA,0.207
Algeria,2005,DZA,0.434
Algeria,2006,DZA,0.163
Algeria,2007,DZA,0.16
Algeria,2008,DZA,0.188
Algeria,2009,DZA,0.213
Algeria,2010,DZA,0.115
Algeria,2011,DZA,0.235
Algeria,2012,DZA,0.225
Algeria,2013,DZA,0.065
Algeria,2014,DZA,0.118
Algeria,2015,DZA,0.097
Algeria,2016,DZA,0.146
Algeria,2017,DZA,0.247
Algeria,2018,DZA,0.288
Algeria,2019,DZA,0.295
Algeria,2020,DZA,0.3
Algeria,2021,DZA,0.254
Algeria,2022,DZA,0.293
Argentina,1965,ARG,1.103
Argentina,1966,ARG,1.082
Argentina,1967,ARG,1.077
Argentina,1968,ARG,1.227
Argentina,1969,ARG,1.065
Argentina,1970,ARG,1.353
Argentina,1971,ARG,1.27
Argentina,1972,ARG,1.235
Argentina,1973,ARG,2.284
Argentina,1974,ARG,3.63
Argentina,1975,ARG,3.866
Argentina,1976,ARG,3.554
Argentina,1977,ARG,3.909
Argentina,1978,ARG,5.227
Argentina,1979,ARG,6.703
Argentina,1980,ARG,9.552
Argentina,1981,ARG,9.542
Argentina,1982,ARG,11.229
Argentina,1983,ARG,11.314
Argentina,1984,ARG,12.136
Argentina,1985,ARG,12.76
Argentina,1986,ARG,12.298
Argentina,1987,ARG,12.247
Argentina,1988,ARG,8.417
Argentina,1989,ARG,7.543
Argentina,1990,ARG,10.292
Argentina,1991,ARG,9.081
Argentina,1992,ARG,10.207
Argentina,1993,ARG,12.216
Argentina,1994,ARG,13.306
Argentina,1995,ARG,12.535
Argentina,1996,ARG,10.225
Argentina,1997,ARG,12.514
Argentina,1998,ARG,11.482
Argentina,1999,ARG,9.225
Argentina,2000,ARG,12.283
Argentina,2001,ARG,15.936
Argentina,2002,ARG,16.248
Argentina,2003,ARG,14.407
Argentina,2004,ARG,12.186
Argentina,2005,ARG,12.79
Argentina,2006,ARG,13.45
Argentina,2007,ARG,10.613
Argentina,2008,ARG,10.447
Argentina,2009,ARG,11.798
Argentina,2010,ARG,11.65
Argentina,2011,ARG,10.914
Argentina,2012,ARG,10.177
Argentina,2013,ARG,10.94
Argentina,2014,ARG,11.039
Argentina,2015,ARG,10.893
Argentina,2016,ARG,10.172
Argentina,2017,ARG,10.979
Argentina,2018,ARG,11.332
Argentina,2019,ARG,11.911
Argentina,2020,ARG,12.31
Argentina,2021,ARG,11.251
Argentina,2022,ARG,12.815
Australia,1965,AUS,5.563
Australia,1966,AUS,5.072
Australia,1967,AUS,4.95
Australia,1968,AUS,4.865
Australia,1969,AUS,5.087
Australia,1970,AUS,5.421
Australia,1971,AUS,5.823
Australia,1972,AUS,5.599
Australia,1973,AUS,5.589
Australia,1974,AUS,5.955
Australia,1975,AUS,6.297
Australia,1976,AUS,5.793
Australia,1977,AUS,5.27
Australia,1978,AUS,5.509
Australia,1979,AUS,5.166
Australia,1980,AUS,4.862
Australia,1981,AUS,4.93
Australia,1982,AUS,4.637
